timestamp,_raw_coolant,coolant,_conf_coolant,_raw_rod_insertion,rod_insertion,_conf_rod_insertion,_raw_feedwater,feedwater,_conf_feedwater,_raw_fuel,fuel,_conf_fuel,_raw_pressure,pressure,_conf_pressure,_raw_temperature,temperature,_conf_temperature
0.0,OPEN,1.0,0.9999091029167175,55%,55.0,0.9631058533462774,72/246,2,0.8985375344085724,85.6%,85.6,0.842794350145581,7252.5kPa,7252.5,0.8076918114922388,1416.8K,1416.8,0.9982329507659538
0.016666666666666666,OPEN,1.0,0.9999037384986877,559,55.0,0.9186330991411772,72/246,2,0.8742157300575479,85.6%,85.6,0.8422796608100469,7252.5kPa,7252.5,0.9999553357541209,1416.8K,1416.8,0.9984471308419736
0.03333333333333333,OPEN,1.0,0.9999310374259949,55%,55.0,0.8240463093790411,2/246,2,0.8372157723365785,856%6,85.6,0.7885799884336853,7252.5kPa,7252.5,0.9999339569631562,1416.8K,1416.8,0.9986873951920525
0.05,OPEN,1.0,0.9998980164527893,55%,55.0,0.8240463093790411,2/246,2,0.8273506054014234,85.6%,85.6,0.8463928216470267,7252.5kPa,7252.5,0.7156861408710444,1416.8K,1416.8,0.9983750929773588
0.06666666666666667,OPEN,1.0,0.999903678894043,55%,55.0,0.8240463093790411,2/246,2,0.8265473569276822,85.6%,85.6,0.7984774902128768,7252.5kPa,7252.5,0.9999351490950631,1416.8K,1416.8,0.9987782670497762
0.08333333333333333,OPEN,1.0,0.999903678894043,55%,55.0,0.8240463093790411,2/246,2,0.8333575615281428,856%6,85.6,0.8096995410563321,7252.5kPa,7252.5,0.9999351490950631,1416.8K,1416.8,0.9987401787240652
0.1,OPEN,1.0,0.999903678894043,55%,55.0,0.8240463093790411,2/246,2,0.8335561062163903,85.6%,85.6,0.7986307257177481,7252.5kPa,7252.5,0.9999351490950631,1416.8K,1416.8,0.9984783256919304
0.11666666666666667,OPEN,1.0,0.999903678894043,55%,55.0,0.8240463093790411,2/246,2,0.8817839111914071,85.6%,85.6,0.7984774902128768,7252.5kPa,7252.5,0.9999351490950631,1416.8K,1416.8,0.9985902098343112
0.13333333333333333,OPEN,1.0,0.999903678894043,55%,55.0,0.8240463093790411,72/24,2,0.9212557402856505,85.6%,85.6,0.7734620594489684,7252.5kPa,7252.5,0.9999351490950631,1416.8K,1416.8,0.9982309671303449
0.15,OPEN,1.0,0.999903678894043,55%,55.0,0.8240463093790411,2/246,2,0.9341199609903863,85.6%,85.6,0.7734620594489684,7252.5kPa,7252.5,0.9999351490950631,1416.8K,1416.8,0.9984739079432885
0.16666666666666666,OPEN,1.0,0.999903678894043,55%,55.0,0.8240463093790411,72/24,2,0.8886382825454172,85.6%,85.6,0.7984774902128768,7252.5kPa,7252.5,0.9999351490950631,1416.8K,1416.8,0.9984266196058555
0.18333333333333332,OPEN,1.0,0.999903678894043,55%,55.0,0.8240463093790411,72/24,2,0.8886382825454172,85.6%,85.6,0.7984774902128768,7252.5kPa,7252.5,0.9999351490950631,1416.8K,1416.8,0.9984266196058555
0.2,OPEN,1.0,0.999903678894043,55%,55.0,0.8240463093790411,72/24,2,0.8886382825454172,85.6%,85.6,0.7984774902128768,7252.5kPa,7252.5,0.9999351490950631,1416.8K,1416.8,0.9984266196058555
0.21666666666666667,OPEN,1.0,0.999903678894043,55%,55.0,0.8240463093790411,72/24,2,0.8886382825454172,85.6%,85.6,0.7984774902128768,7252.5kPa,7252.5,0.9999351490950631,1416.8K,1416.8,0.9984266196058555
0.23333333333333334,OPEN,1.0,0.9999037981033325,55%,55.0,0.8240463093790411,72/24,2,0.8886382825454172,85.6%,85.6,0.805546479674896,7252.5kPa,7252.5,0.999925095427041,1416.8K,1416.8,0.9984054771123839
0.25,OPEN,1.0,0.9999010562896729,55%,55.0,0.8240463093790411,72/24,2,0.8886382825454172,85.6%,85.6,0.805546479674896,7251.9kPa,7251.9,0.9999923705909167,1416.8K,1416.8,0.9984054771123839
0.26666666666666666,OPEN,1.0,0.9998961687088013,55%,55.0,0.8240463093790411,72/24,2,0.8886382825454172,85.6%,85.6,0.805546479674896,7251.9kPa,7251.9,0.885236940510639,1416.8K,1416.8,0.9984055672725777
0.2833333333333333,OPEN,1.0,0.9999011754989624,55%,55.0,0.8240463093790411,72/24,2,0.8886382825454172,85.6%,85.6,0.805546479674896,7251.9kPa,7251.9,0.9714043719706744,1416.8K,1416.8,0.9984054771123839
0.3,OPEN,1.0,0.9999011754989624,55%,55.0,0.8240463093790411,72/24,2,0.8886382825454172,85.6%,85.6,0.805546479674896,7251.9kPa,7251.9,0.9998892795049784,1416.8K,1416.8,0.9982096429671687
0.31666666666666665,OPEN,1.0,0.9999011754989624,55%,55.0,0.8240463093790411,72/24,2,0.8886382825454172,85.6%,85.6,0.805546479674896,7251.9kPa,7251.9,0.9999914803919744,1416.8K,1416.8,0.9982096429671687
0.3333333333333333,OPEN,1.0,0.9999011754989624,55%,55.0,0.8240463093790411,72/24,2,0.8886382825454172,85.6%,85.6,0.805546479674896,7251.9kPa,7251.9,0.9999632824504059,1416.7K,1416.7,0.9978427812112151
0.35,OPEN,1.0,0.9999011754989624,55%,55.0,0.8240463093790411,72/24,2,0.8886382825454172,85.6%,85.6,0.805546479674896,7251.9kPa,7251.9,0.9999327844239172,1416.7K,1416.7,0.9978761463759782
0.36666666666666664,OPEN,1.0,0.9999011754989624,55%,55.0,0.8240463093790411,72/24,2,0.8886382825454172,85.6%,85.6,0.805546479674896,7251.9kPa,7251.9,0.9999327844239172,1416.7K,1416.7,0.9978875535726554
